,OBJECTID,COD_SIG,INF_NOME,INF_MORADA,FREGUESIA,INF_TELEFONE,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_ACTIVO,GlobalID,geometry
83,85,252,Biblioteca do Goethe Institut,Campo dos Mártires da Pátria 36 R/C,Arroios,21 882 45 11,biblioteca@lissabon.goethe.org,www.goethe.de/ins/pt/lis/wis/bib/ptindex.htm,"A Secção de Informação & Biblioteca do Goethe Institut informa sobre os acontecimentos culturais, sociais e políticos na Alemanha. O acervo engloba livros, jornais, revistas, vídeos, DVDs, CDs, CD-ROMs e cassetes, que podem ser consultados gratuitamente na Biblioteca ou requisitados mediante o pagamento de uma taxa anual, semestral ou trimestral. No espaço da Biblioteca encontra-se um largo número de obras de consulta actualizadas. Sempre que necessário os colaboradores prestar-lhe-ão o apoio necessário e fornecer-lhe-ão informações sobre a Alemanha (também por telefone e por escrito). Um catálogo on-line permite uma orientação sobre todo o acervo de livros e media. São distribuídas regularmente listagens das mais recentes aquisições.",www.goethe.de/ins/pt/lis/wis/bib/ptindex.htm,1,621452b4-cd45-46c6-80a7-a8b22256efab,POINT (-9.14072067903828 38.7211358626321)
84,86,253,Biblioteca do Instituto da Vinha e do Vinho,Rua Mouzinho da Silveira 5 R/C;,Santo António,21 350 67 00 / 21 314 50 33 (Linha Azul),info@ivv.min-agricultura.pt,www.ivv.min-agricultura.pt,"A Mediateca do Instituto da Vinha e do Vinho é um centro de documentação especializado nas temáticas da vinha e do vinho, nas suas diversas vertentes, designadamente técnica, histórica, económica, geográfica e etnográfica. Do seu acervo documental fazem parte, ainda, algumas obras de grande importância e raridade, tais como a Informação Vinícola que data de 1938 a 1962, os Anais da Junta Nacional do Vinho desde 1949 a 1961, a obra da autoria de Cincinnato da Costa, O Portugal Vinícola, ilustrada por uma belíssima colecção de aguarelas de castas de uva e apresentada na Exposição Universal de Paris em 1900, em edição facsimilada comemorativa do seu I Centenário. Preferencialmente frequentada por estudantes, técnicos especializados, e também por um público em geral interessado por esta temática, a Mediateca do IVV é um espaço agradável e bem equipado que convida a uma visita.
",www.ivv.min-agricultura.pt,1,9fc724ed-9d74-4243-bf49-4cc24900d1a1,POINT (-9.15000143906712 38.7220552741644)
85,87,254,Biblioteca do Instituto Superior de Serviço Social de Lisboa,Largo do Mitelo 1 1º,Arroios,,,,,-,1,c0570128-6299-4849-82b6-9bb1562a661f,POINT (-9.13873443490877 38.7221829067283)
86,88,255,Biblioteca da APOTEC - Associação Portuguesa de Técnicos de Contas,Rua Rodrigues Sampaio 50 3º Esq;,Santo António,21 355 29 00,geral@apotec.pt,www.apotec.pt,,www.apotec.pt,1,727c21d9-78ae-4f2e-8ba2-837b0eb2b8f3,POINT (-9.14585728279215 38.7222911351876)
87,89,256,Biblioteca Sociedade Língua Portuguesa,Rua Mouzinho da Silveira 23 R/C,Santo António,21 357 32 04 / 353 34 58,soclingport@gmail.com,www.slp.pt,,www.slp.pt,1,75708403-dc43-45db-8c17-f17fa95037d2,POINT (-9.15063662332233 38.7228052779942)
88,90,257,Biblioteca Gonzalo Torrente Ballester - Instituto Cervantes,Rua de Santa Marta 43F R/C,Santo António,21 310 50 20,biblis1@cervantes.es,http://lisboa.cervantes.es/pt/default.shtm,"A biblioteca Gonzalo Torrente Ballester possui um espólio de 30000 volumes de publicações e documentação, dedicados ao ensino da língua espanhola e à divulgação da cultura espanhola e hispano-americana.
",http://lisboa.cervantes.es/pt/default.shtm,1,44ca34f6-6f93-417a-8aa2-9dfc43995269,POINT (-9.14597877161908 38.7238107195212)
89,91,258,ACAPO - Associação de Cegos e Ambliopes de Portugal,"Rua Rodrigues Sampaio, 146",Santo António,+351 213 244 500,dn@acapo.pt,,Delegação Regional do Sul e Ilhas,-,1,8220272e-b17b-4e09-a2d5-c0e58bbe75a2,POINT (-9.14741195826711 38.7243293678656)
90,92,259,Biblioteca da Universidade Autónoma de Lisboa,Rua de Santa Marta 56 R/C,Santo António,21 317 76 40,biblioteca@universidade-autonoma.pt,http://biblio.ual.pt/,,http://biblio.ual.pt/,1,7238236b-19fa-4d0f-8e1b-9156ed0102ab,POINT (-9.14589545081874 38.7244239702467)
91,93,260,Biblioteca Museu Nacional do Azulejo,"Rua da Madre de Deus, 4",Penha de França,+351 218 100 340 ,mnazulejo.biblioteca@ipmuseus.pt,mnazulejo.imc-ip.pt,"A Biblioteca é especializada em Cerâmica, Azulejo, Conservação e Restauro de Cerâmica, existindo ainda títulos sobre outras Artes Decorativas e Iconografia, reunindo 5 937 monografias e catálogos de exposições e 247 títulos de publicações periódicas. O Centro de Documentação, ainda em fase de formação, tem disponível informação actualizada sobre ceramistas nacionais e estrangeiros, centros de produção nacionais e imóveis com revestimentos em azulejo. 
",http://mnazulejo.imc-ip.pt,1,887ead07-1a51-4d65-a9ba-b22426bbaf0a,POINT (-9.11371272880596 38.724742312066)
92,94,261,Biblioteca e Centro Documentação do Instituto de Conservação da Natureza,Rua de Santa Marta 55 R/C,Santo António,21 350 79 00,icnb@icnb.pt,http://portal.icnb.pt,"Especializado na área do Ambiente e Conservação da Natureza.
",http://portal.icnb.pt,1,79763831-9105-4209-b911-b1fdd2560155,POINT (-9.14654698494995 38.7249477587749)
93,95,262,Biblioteca do Instituto Geográfico Português,Rua de Artilharia Um 107 R/C;,Campolide,21 381 96 00,cdi@igeo.pt,www.igeo.pt,"O Centro para a Documentação e Informação do IGP foi criado para responder à  necessidade de recolher, tratar e divulgar toda a informação bibliográfica produzida e recebida no IGP.
",www.igeo.pt,1,f0dc70de-3e3c-488b-b2ea-f70b678c87a1,POINT (-9.15869720560538 38.7257338562211)
94,96,263,Biblioteca do Instituto Superior de Novas Profissões,Rua Bernardo Lima 5 R/C,Santo António,21 751 3747,giselia.felicio@ulusofona.pt,www.inp.pt,,www.inp.pt,1,7df7985a-b44c-421f-bdcd-138348817c27,POINT (-9.14424160058271 38.7261948236076)
95,97,264,Mediateca de Formação Profissional,Rua de Xabregas 52 R/C ,Beato,21 861 41 00,crc.cnqf@iefp.pt,www.iefp.pt/iefp/Mediateca/Paginas/Home.aspx,"Esta biblioteca é maioritariamente destinada à divulgação de  textos de preparação e divulgação pedagógica, técnica, didática e científica e tem como público alvo técnicos de formação e entidades responsáveis pela prática de acções formativas.
",www.iefp.pt/iefp/Mediateca/Paginas/Home.aspx,1,2a0c6e8e-cc77-4b0a-98ef-cb6dc4ec3d20,POINT (-9.11144163113198 38.7267355637263)
96,98,265,Biblioteca e Arquivo do Banco de Portugal,Rua Francisco Ribeiro (Ribeirinho) 2 R/C,Arroios,21 313 07 05/21 313 0626 ,biblioteca@bportugal.pt,www.bportugal.pt,"A Biblioteca foi constituída em 1932 e tem um acervo de cerca de 47 000 monografias e 1400 títulos de publicações periódicas correntes, especializadas em Economia Nacional e Internacional, Política Financeira e Monetária e Direito. A Biblioteca possui uma extensa colecção de publicações de Organismos Internacionais, especialmente do Banco Central Europeu, Fundo Monetário Internacional e OCDE, bem como um significativo fundo de livros antigos (séc. XVI a XIX). Os utilizadores poderão consultar as obras solicitadas ou aceder às bases de dados aí disponíveis e ainda ter acesso à informação sobre regulamentação bancária emitida pelo Banco de Portugal (SIBAP).
",www.bportugal.pt,1,bc2cdf7a-2a9f-49f7-b0cc-553aa331c739,POINT (-9.13545947326075 38.7265334376858)
97,99,266,Biblioteca da Penha de França,"Rua Francisco Pedro Curado, 6A ",Penha de França,+351 218 172 410,bib.pfranca@cm-lisboa.pt,,"A nova Biblioteca da Penha de França, inaugurada em 2015, com 257m2, é um equipamento cultural da Câmara Municipal de Lisboa. É uma biblioteca aberta à comunidade, onde crianças, jovens, adultos e idosos convivem e aprendem. Com muita luz, mobiliário moderno e confortável, disponibiliza computadores e Wi-Fi gratuito. Possui uma zona de jornais e revistas, mais informal, onde se pode tomar café, um espaço mais vocacionado para a leitura e o estudo e uma sala multiusos, que é usada para a realização de diversas atividades. Além dos serviços tradicionais (consulta e empréstimo de livros e outros documentos) e do trabalho de promoção da leitura que desenvolve com as escolas mais próximas, desenvolve ainda um conjunto de atividades para adultos como são as oficinas comunitárias da memória para idosos ou os cursos de português para estrangeiros. É dotada de excelentes condições de acessibilidade para pessoas com mobilidade reduzida.",CML - Rede BLx,1,a04b9894-781b-4877-b142-505bc7fbf744,POINT (-9.12523149850968 38.7273676324827)
98,100,267,Biblioteca da Freguesia de São Jorge de Arroios,Rua Passos Manuel 20 R/C,Arroios,21 353 61 74,,,,Turismo,1,651ecaea-a81c-45af-ac92-026682725c93,POINT (-9.13669419565993 38.7275570633767)
99,101,268,Biblioteca Sociedade Teosófica Portugal,Rua Passos Manuel 20 Cave,Arroios,21 353 47 50,geral@sociedadeteosoficadeportugal.pt,www.sociedadeteosoficadeportugal.pt/,"A Biblioteca da S.T.P. é uma biblioteca invulgar que se aproxima das tradições filosóficas e espirituais do Oriente e do Ocidente e que realça a tradição da Sabedoria Antiga - a Teosofia.
",www.sociedadeteosoficadeportugal.pt,1,a901c424-dda5-4020-a81f-2be0aea955e3,POINT (-9.13668269757444 38.7275571620849)
100,102,269,Biblioteca da Sociedade Portuguesa de Autores,Rua Gonçalves Crespo 62 R/C,Arroios,21 357 83 20 ,geral@spautores.pt,www.spautores.pt,"A Biblioteca é especializada em teatro, embora abranja obras de temática alargada.
",www.spautores.pt,1,451a0e49-e046-4141-ac70-75b912bea2c6,POINT (-9.14394850194242 38.728530793899)
101,103,270,Centro de Documentação Ass. Port. De Educação Musical,Rua Dom Francisco Manuel de Melo 36 1º Dto,Avenidas Novas,21 386 81 01,educacaomusical@sapo.pt,www.apem.org.pt,,www.apem.org.pt,1,0c241f57-6bd1-4fce-a293-fa48364f2543,POINT (-9.15902064463438 38.7284454262673)
102,104,271,CIUL - Centro de Informação Urbana de Lisboa,"Rua Viriato, 13 - Picoas Plaza

Núcleo 6-E,1º",Avenidas Novas,+351  218 172 100 / +351 218 172 101,ciul@cm-lisboa.pt,http://www.cm-lisboa.pt/viver/urbanismo,"O Centro de Informação Urbana de Lisboa constitui o reflexo do forte empenhamento da Câmara Municipal de Lisboa na aproximação ao munícipe e a todos aqueles que se interessam pelas questões urbanas. Com uma área total de 1.200m2, localizado numa zona central da Cidade (Picoas), promove o conhecimento sobre Lisboa, configurando-se, deste modo, como um espaço de diálogo e de interação com cidadãos e instituições.

Centro inovador de excelência, que promove e potencia sinergias entre a Câmara Municipal de Lisboa, Universidades e demais entidades dedicadas ao conhecimento, investigação e inovação no âmbito das questões urbanas e dos temas chave para o desenvolvimento da cidade de Lisboa.

Visão
Uma plataforma de partilha de conhecimento  
Um centro federador de entidades de referência na cidade     
Um parceiro estratégico ativo na reflexão sobre o desenvolvimento 
Um centro de excelência no apoio à investigação 
Um centro empreendedor e de inovação 
  

Espaços
Núcleo de Documentação 
Local privilegiado de trabalho, consulta e divulgação de informação documental, com especial foco no urbanismo, planeamento e gestão urbana dedicados a Lisboa. O local permite a reunião e apresentação de projetos, planos, revistas especializadas, teses, trabalhos de investigação, etc.

Acesso a Recursos Online 
Disponibilização de acesso à Internet, com primazia para os sítios da CML que disponibilizam informação e dados sobre a Cidade.

Área Polivalente para Exposições 
Destinada a exposições, com uma área de cerca de 400 m2, permite ainda a organização/receção de workshops ou outro tipo de realizações. Este espaço encontra-se em articulação com o auditório. 

A Maqueta de Lisboa à escala 1.2 500, reside neste espaço e poderá desempenhar uma dupla função: cartão de visita para um primeiro relacionamento com grupos técnicos estrangeiros que visitem Lisboa e instrumento vivo de planeamento para testar soluções, além de ser um elemento de promoção da cidade junto de promotores e investidores imobiliários.

Auditório 
Espaço polivalente vocacionado para a realização de debates, fóruns, reuniões e apresentações multimédia. Com capacidade para 88 lugares, está equipado com cabines de tradução simultânea, sistema de projeção estereoscópica, videoconferência, etc.",-,1,0ee85eb1-82ee-4fe8-a0ee-2f615f4e9fff,POINT (-9.14806974653835 38.7308443972889)
103,105,272,Centro de Documentação Direcção-Geral Autarquias Locais,Rua José Estêvão 137 R/C,Arroios,21 313 30 00,,,"A biblioteca é especializada em Administração Local, Administração Pública, Direito, Comunidades Europeia e Urbanismo. 
",--,1,a98e3fcc-6f9b-49a0-8ff1-1cfb45cd171f,POINT (-9.13778055750685 38.7312229041081)
104,106,273,Biblioteca da Assembleia Distrital de Lisboa,Rua José Estêvão 137 3º,Arroios,21 358 25 95,assembleia.distrital.lisboa@gmail.com,www.ad-lisboa.pt,"Espaço de ambiente agradável, possuindo um vasto e diversificado espólio bibliográfico, esta biblioteca integra cerca de 28.000 obras, repartidas por diferentes áreas: Arqueologia, Ciências Sociais, Direito, Economia e Gestão, Engenharia, Etnografia, Filosofia e Psicologia, História, História da Arte, Linguística, Literatura, Medicina, Monografias Regionais, Olisiponenses, Veterinária, livros escolares diversos, dicionários/enciclopédias e jornais diários.
",-,1,371869c2-b1c7-4c51-a619-d305459d43a8,POINT (-9.13790321722684 38.7313737918165)
105,107,274,"Biblioteca da Associação Portuguesa de Bibliotecários, Arquivistas e Documentalistas",Rua Morais Soares 43C 1º Dto,Penha de França,+351 218 161 980,biblioteca@apbad.pt,www.apbad.pt,"Esta biblioteca possui documentação direccionada para a Arquivística, a Biblioteconomia, a Ciência da Informação e áreas referentes à temática da preservação e conservação, ciências da informação, entre outras.",www.apbad.pt,1,8eebcb8e-d6ff-4711-a4b1-5b5b479da218,POINT (-9.12816345278728 38.7318209508303)
106,108,275,Biblioteca ONU,Rua Latino Coelho 1,Avenidas Novas,21 356 63 10/21 356 63 17, cnu@unesco.pt,www.unesco.pt,"A Biblioteca da Unesco pretende ser uma fonte de promoção e divulgação da informação que produz, nomeadamente nas áreas da Educação, Ciência, Cultura e Comunicação.
",www.unesco.pt,1,8edab478-a296-407d-99fd-9305dd05bb37,POINT (-9.14697739401526 38.7318099740945)
107,109,276,Serviço de documentação do ISEGI - Universidade Nova de Lisboa,"Travessa de Estêvão Pinto Fac Economia, ISEGI ",Campolide,21 387 04 13,sdoc@isegi.unl.pt,www.isegi.unl.pt,"Os Serviços de Documentação têm como principal objectivo fornecer apoio informativo e documental aos seus utilizadores nas quatro principais grandes áreas científicas de vocação do Instituto: a Estatística, a Economia, a Gestão e a Informática. O fundo documental integra monografias, periódicos, programas tutoriais, programas de demonstração, bases de dados (suporte magnético e óptico) e vídeos, para além de material de produção interna (dissertações de mestrado, doutoramento e working papers). 
",www.isegi.unl.pt,1,3dc386f0-515d-43f2-aefe-2804ff362830,POINT (-9.16086365065977 38.7326057415263)
108,110,277,Biblioteca Almada Negreiros - Universidade Nova de Lisboa,"Travessa de Estêvão Pinto Fac Economia, ISEGI R/C",Campolide,21 380 16 02,sdoc@novasbe.pt / biblioteca@novasbe.pt,www.novasbe.pt,"""Proporcionar o acesso à informação necessária ao apoio da actividade pedagógica e científica que a Faculdade de Economia se propõe realizar, satisfazendo as necessidades de informação dos seus docentes, alunos e pessoal e também da comunidade em que a FE se insere.  Biblioteca do Departamento de Gestão 
A Biblioteca do Departamento de Gestão está vocacionada para o Mestrado em Gestão de Empresas (M.B.A.) e é constituída por um fundo documental de cerca de 22 000 no total entre documentos, livros, artigos, casos, etc. Tem acesso a mais de 1 200 títulos em linha, vários jornais diários, Relatórios e Contas de empresas portuguesas cotadas na Bolsa de Valores de Lisboa, um Clipping File onde são incorporadas, diariamente, as notícias respeitantes a essas mesmas empresas, Working Papers de várias universidades e instituições nacionais e estrangeiras e bases de dados electrónicas. ""
",www.novasbe.pt,1,56d95a60-5acf-41f8-bee8-623039059fd2,POINT (-9.16086390879898 38.7326237549532)
109,111,278,Serviço de documentação do ISEGI - Universidade Nova de Lisboa,"Travessa de Estêvão Pinto Fac Economia, ISEGI ",Campolide,21 387 04 13,sdoc@isegi.unl.pt,www.isegi.unl.pt,"Os Serviços de Documentação têm como principal objectivo fornecer apoio informativo e documental aos seus utilizadores nas quatro principais grandes áreas científicas de vocação do Instituto: a Estatística, a Economia, a Gestão e a Informática. O fundo documental integra monografias, periódicos, programas tutoriais, programas de demonstração, bases de dados (suporte magnético e óptico) e vídeos, para além de material de produção interna (dissertações de mestrado, doutoramento e working papers). 
",www.isegi.unl.pt,1,7de4fee9-0e15-4a0c-a7f4-bb44c15ae2cf,POINT (-9.1604438800256 38.7327868796758)
110,112,279,Biblioteca da Faculdade de Direito Universidade Nova de Lisboa,"Travessa de Estêvão Pinto Fac Economia, ISEGI R/C",Campolide,21 384 74 51,Biblioteca@fd.unl.pt,www.fd.unl.pt,"Biblioteca especializada em áreas temáticas do direito e da justiça.
",www.fd.unl.pt,1,9410de63-5fd3-4f3c-b3cf-22f6efb11ded,POINT (-9.16043251020273 38.7327959874456)
111,113,280,CIDAC - Centro de Informação e Documentação Amílcar Cabral,Rua Pinheiro Chagas 77 2º Esq,Avenidas Novas,21 317 28 60,cidac@cidac.pt,www.cidac.pt,"Especializado em documentação sobre os PALOP, literaturas africanas de expressão portuguesa, multiculturas e políticas de cooperação.
",www.cidac.pt,1,00c44621-6f7d-4917-86a2-d229c2a0a2b4,POINT (-9.15129332209634 38.734474748728)
112,114,281,Arquivo Municipal de Lisboa,"Rua B, Bairro da Liberdade, lote 3 a 6, piso 0",Campolide,21 380 71 00/01/02,arquivomunicipal@cm-lisboa.pt,http://arquivomunicipal.cm-lisboa.pt/,"A constituição de um arquivo em Lisboa terá surgido da necessidade, sentida pelo município, em guardar devidamente os documentos mais importantes relativos à cidade e aos seus habitantes.
No arquivo encontram-se alguns dos mais importantes documentos para a História da Cidade, com a confirmação, por D. Afonso II, do foral outorgado a Lisboa por D. Afonso Henriques, o Foral Manuelino, o Livro Carmesim, o Livro dos Pregos, o Cartulário Pombalino, os Livros de Cordeamentos, os Livros do Senado da Câmara, Livro de Posturas, bem como alguns fundos, como a Casa dos Vinte e Quatro e a extinta Câmara Municipal de Belém. Também inclui valiosos espólios, como o de cartazes e panfletos políticos de José Luís Monteiro, Cassiano Branco, Keil do Amaral e Ruy Athouguia.
Neste mesmo local estão os processos de obra particulares, que constituem a série mais numerosa e também a mais consultada pelo público. Entre os processos de obra destacam-se os referentes ao Prémio Valmor de Arquitetura, instituído desde 1902 e que tem por finalidade premiar a qualidade arquitetónica dos novos edifícios construídos na cidade de Lisboa.
",http://arquivomunicipal.cm-lisboa.pt/,1,af957f07-5dae-4b7c-a5f7-c2d7fa690cd4,POINT (-9.17135486888728 38.7355332143655)
113,115,282,Biblioteca do Instituto Superior Técnico,Avenida Rovisco Pais IST (Pavilhão Central) R/C,Areeiro,21 841 78 04 ,bist@ist.utl.pt,http://bist.ist.utl.pt/,"A Biblioteca do IST integra uma Biblioteca Central localizada no Pavilhão Central, Bibliotecas Departamentais e a Biblioteca do Complexo Interdisciplinar.Foi fundada em 1911, ainda nas antigas instalações deste Instituto. É uma biblioteca universitária especializada nas áreas de Engenharia e Tecnologia que serve prioritariamente os alunos, professores e investigadores do IST, mas recebe igualmente utilizadores externos. Estimam-se em 10.000 o número de utilizadores potenciais desta Biblioteca, estando de momento registados cerca de 4000. Os utilizadores da Biblioteca podem ainda utilizar os serviços tradicionais de fotocópias, empréstimo domiciliário e reservas de livros. Estão disponíveis na Biblioteca do IST novos serviços tais como: empréstimos inter-bibliotecas, pesquisa em bases de dados em CD-ROM, acesso ON-LINE a bases de dados nacionais e estrangeiras, acesso ao catálogo em linha da Biblioteca do IST. O catálogo em linha da Biblioteca do IST é acessível a partir de qualquer ponto do campus do IST, através da Rede Interna e também do exterior (X25 ou Internet). A BIST utiliza o sistema informático de gestão de Bibliotecas - LIBERTAS (SLS Information Systems). ",http://bist.ist.utl.pt/,1,62ed4a68-cc6e-439a-8818-d332ec372d83,POINT (-9.13949745101906 38.7367847880959)
114,116,283,Biblioteca do Instituto Nacional para a Reabilitação,Avenida Conde de Valbom 63 1º,Avenidas Novas,21 792 95 54 / 21 792 95 10,inr-biblioteca@seg-social.pt,www.inr.pt,"Especializada nas áreas de reabilitação médica, integração escolar e educação especial, formação e reabilitação profissional, segurança social, integração social, acessibilidade ao meio físico, transportes, ajudas técnicas, desporto e tempos livres, toxicodependênca.
",www.inr.pt,1,ae0b22fb-7956-4f9f-9020-fbc1ff67243f,POINT (-9.15098278613583 38.7369005466955)
115,117,284,Biblioteca do Instituto Superior de Contabilidade e Administração de Lisboa,Avenida Miguel Bombarda 20 R/C,Avenidas Novas,21 798 45 00 ,biblioteca@iscal.ipl.pt,www.iscal.ipl.pt,,www.iscal.ipl.pt,1,b281a4b5-2be2-4504-8257-8f7a01f919ef,POINT (-9.14678915625357 38.7371982609284)
116,118,285,Biblioteca da Comissão para a Cidadania e a Igualdade de Género,Avenida da República 32 1º Esq;Avenida da República 32 1º Dto,Avenidas Novas,21 798 30 00,cig@cig.gov.pt,www.cig.gov.pt,"A biblioteca possui um total de 10.000 espécies bibliográficas em diferentes áreas, das quais 2.000 pertencem à de 'Reservados', assumindo-se suporte documental e teórico de estudos sobre mulheres.
",www.cig.gov.pt,1,2b107bc0-6e1b-4035-a24a-be2036e10e54,POINT (-9.14542796224815 38.7377235171086)
117,119,286,Biblioteca da Comissão para a Cidadania e a Igualdade de Género,Avenida da República 32 1º Esq;Avenida da República 32 1º Dto,Avenidas Novas,21 798 30 00,cig@cig.gov.pt,www.cig.gov.pt,"A biblioteca possui um total de 10.000 espécies bibliográficas em diferentes áreas, das quais 2.000 pertencem à de 'Reservados', assumindo-se suporte documental e teórico de estudos sobre mulheres.
",www.cig.gov.pt,1,95c7a1be-e4d6-4028-98e8-e21f25b704f4,POINT (-9.14543971738179 38.7377414301055)
118,120,287,Biblioteca de Arte - Fundação Calouste Gulbenkian,Avenida de Berna 45 ,Avenidas Novas,+351 217 823 598,artlib@gulbenkian.pt,www.biblarte.gulbenkian.pt,"A Biblioteca Geral de Arte está integrada no edifício do Museu, cujo projecto arquitectónico foi da responsabilidade dos Arqs Alberto Pessoa, Pedro Cid e Ruy Athouguia. Formada a partir da legada pelo testador, é especializada em História de Arte e História, incluíndo livros sobre viagens, jardins, flores e árvores. Oferece ainda dois  núcleos especiais: literatura de cordel e o de obras de autores estrangeiros sobre Portugal e de autores portugueses traduzidos no estrangeiro. O museu da Fundação Calouste Gulbenkian, inaugurado em 1969, reúne a colecção particular de obras de arte daquele famoso coleccionador arménio. Destacam-se os conjuntos dedicados às artes da antiguidade oriental e clássica greco-romana e a colecção alusiva à arte europeia, com núcleos de pintura, escultura, artes decorativas e joalharia. Foi-lhe atribuído o Prémio Valmor de 1975. O Centro de Arte Moderna, inaugurado em 1983, possui um dos melhores acervos de arte portuguesa deste século. 
",www.biblarte.gulbenkian.pt,1,701f349b-ad97-48f0-bca0-c802e0f32286,POINT (-9.15361424653165 38.738202259068)
119,121,288,Centro de Documentação do INE,Avenida de António José de Almeida INE R/C,Areeiro,21 842 61 00 ,ine@ine.pt,www.ine.pt,"Encontram-se disponíveis para consulta gratuita todas as obras editadas, parte da informação não publicada e ainda um grande número de outras publicações estatísticas nacionais e estrangeiras.
",www.ine.pt,1,89ad21be-051c-47c4-aaaf-feac4ba14a36,POINT (-9.13805645788157 38.7384439886744)
120,122,289,Centro de Documentação e Informação da Secretaria-Geral Ministério da Educação,Avenida Cinco de Outubro 107 R/C,Avenidas Novas,21 781 18 00,,www.min-edu.pt,"Especializado nas áreas de Educação, Pedagogia, Formação Profissional, Política Educativa, Gestão, Recursos Humanos, História, Literatura, Psicologia, Sociologia. Leitura presencial e domiciliária.
",www.min-edu.pt,1,ebee35e0-fe75-490a-ad2b-feb319c1c228,POINT (-9.14857083314116 38.7387992111191)
121,123,290,Comissão Fulbright,Avenida Elias Garcia 59 5º,Avenidas Novas,21 799 63 90,headoffice@ccla.pt,www.fulbright.pt,"O Centro de Documentação da Fundação Luso-Americana reúne cerca de 5 000 títulos (entre monografias, relatórios e teses), com um predomínio das áreas científicas relacionadas com a actividade da Fundação. A cobertura temática inclui: Relações entre Portugal e os EUA, Direito, Economia, Sector Não-Lucrativo, Fundações e Política, entre outras. A consulta destas monografias é possível mediante marcação prévia, por telefone ou correio electrónico.
",www.fulbright.pt,1,9134ec02-e751-4314-88df-e9aa374423fc,POINT (-9.14555310839834 38.7392537531417)
122,124,291,Biblioteca do Instituto Português de Reumatologia,Rua da Beneficência 7 R/C,Avenidas Novas,21 798 02 00,,www.ipr.pt,"Vasto acervo de livros e revistas de doenças de foro reumatológico. Aberta ao público especializado para consulta gratuita.
",www.ipr.pt,1,b8448f3f-0f15-43a8-93a3-f82e24baf9fa,POINT (-9.15361825645941 38.7394447542701)
123,125,292,Biblioteca de Marvila,Rua António Gedeão Biblioteca R/C;,Marvila,+351 218 173 000,bib.marvila@cm-lisboa.pt  |  bib.marvila.emp@cm-lisboa.pt,http://blx.cm-lisboa.pt," . Coleção principal: livros, CD e DVD de todas as áreas da ficção e da não-ficção 
. Empréstimo gratuito da coleção
. Jornais e revistas do dia
. Reserva de títulos
. Pedido de títulos de outras Bibliotecas de Lisboa
. Apoio na procura de títulos, temas e informação em geral
. Catálogo on-line - http://catalogolx.cm-lisboa.pt
. PC com internet para uso gratuito
. Wi-Fi gratuito
. Reprografia
. Scanner
. Tomadas elétricas para portátil e tablet
. Mesas, cadeiras e sofás para estudo ou lazer
. Agenda de eventos - http://blx.cm-lisboa.pt/acontece/

Facebook: www.facebook.com/bibliotecasdelisboa
Youtube: https://www.youtube.com/user/blxc

Horário: de segunda a sábado abre das 10H00 às 18H00 | Encerra: domingos e feriados.

Transportes
Autocarro: 
. 793 (saída junto à biblioteca_paragem: Escola Marvila) 
. 759 (saída: R. Dinah Silveira de Queiróz)

Comboio: 
Apeadeiro de Marvila (Junto à Escola 2+3 de Marvila)

",CML - Rede BLx,1,4b9d0dfa-7498-4072-958f-fefa777c3b3b,POINT (-9.10911082295563 38.7400780072021)
124,126,293,Arquivo Municipal Arco do Cego,Rua Nunes Claro 8A R/C,Areeiro,21 841 11 70,arquivomunicipal@cm-lisboa.pt,http://arquivomunicipal.cm-lisboa.pt/,"Resultante da evolução, do Arquivo Administrativo, concebido pela primeira vez no Projeto de Organização dos serviços da Câmara Municipal de Lisboa de 1919, tendo como função conservar toda a documentação desde 1834.

Destaca-se a documentação produzida pelos diversos serviços municipais, como a referente à planificação da cidade, requalificação dos espaços públicos, aos projetos de construção de equipamentos sociais e bairros económicos, aos estudos urbanísticos e de espaços verdes, a mobiliário urbano ou projetos de transportes públicos, assim como levantamentos de Filipe Folque ou de Silva Pinto.
Outro conjunto documental de referência é o constituído pela concessão de licenças e o estabelecimento de taxas por parte do Município. 
",http://arquivomunicipal.cm-lisboa.pt/,1,845490b1-ef7d-47c7-ba9f-a7cf80f8fae6,POINT (-9.1411721800002 38.7401474093486)
125,127,294,Biblioteca e Arquivo Histórico do Tribunal de Contas,Avenida da República 65 R/C;Avenida da República 65 R/C,Avenidas Novas,21 794 55 61 / 21 794 55 62,dadi@tcontas.pt,www.tcontas.pt,"Especializado nas áreas de Finanças Públicas, Administração Pública, Direito, Economia e Gestão.
",www.tcontas.pt,1,358a0059-8ee8-4164-99b2-548d7ba334ad,POINT (-9.14707184066557 38.7401053160748)
126,128,295,Biblioteca e Arquivo Histórico do Tribunal de Contas,Avenida da República 65 R/C;Avenida da República 65 R/C,Avenidas Novas,21 794 55 61 / 21 794 55 62,dadi@tcontas.pt,www.tcontas.pt,"Especializado nas áreas de Finanças Públicas, Administração Pública, Direito, Economia e Gestão.
",www.tcontas.pt,1,be6db60e-305e-4ce1-968f-26b099a6dc53,POINT (-9.14678624688697 38.7401084362478)
